timestamp,run_id,rung,rank,budget_spent,eval_score,completion_rate,promoted,config
2026-08-28T06:42:50.425967,1,0,24,4,0.0,0.0,0,"{""gamma"": 0.95, ""epsilon_start"": 1.0, ""epsilon_min"": 0.05, ""epsilon_decay_steps"": 40000, ""batch_size"": 32, ""learning_rate"": 0.0005, ""buffer_size"": 50000}"
2026-08-28T06:42:50.425967,1,0,25,4,0.0,0.0,0,"{""gamma"": 0.95, ""epsilon_start"": 1.0, ""epsilon_min"": 0.05, ""epsilon_decay_steps"": 60000, ""batch_size"": 128, ""learning_rate"": 0.001, ""buffer_size"": 50000}"
2026-08-28T06:42:50.426969,1,0,26,4,0.0,0.0,0,"{""gamma"": 0.9, ""epsilon_start"": 1.0, ""epsilon_min"": 0.01, ""epsilon_decay_steps"": 20000, ""batch_size"": 64, ""learning_rate"": 0.001, ""buffer_size"": 100000}"
2026-08-28T06:42:50.426969,1,0,27,4,0.0,0.0,0,"{""gamma"": 0.9, ""epsilon_start"": 1.0, ""epsilon_min"": 0.05, ""epsilon_decay_steps"": 20000, ""batch_size"": 64, ""learning_rate"": 0.0005, ""buffer_size"": 50000}"
2026-08-28T08:11:50.529184,1,1,1,15,10.0,0.0,1,"{""gamma"": 0.99, ""epsilon_start"": 1.0, ""epsilon_min"": 0.05, ""epsilon_decay_steps"": 60000, ""batch_size"": 128, ""learning_rate"": 0.001, ""buffer_size"": 100000}"
2026-08-28T08:11:50.529184,1,1,2,15,0.0,0.0,1,"{""gamma"": 0.99, ""epsilon_start"": 1.0, ""epsilon_min"": 0.05, ""epsilon_decay_steps"": 40000, ""batch_size"": 64, ""learning_rate"": 0.001, ""buffer_size"": 50000}"
2026-08-28T08:11:50.530184,1,1,3,15,0.0,0.0,1,"{""gamma"": 0.9, ""epsilon_start"": 1.0, ""epsilon_min"": 0.01, ""epsilon_decay_steps"": 20000, ""batch_size"": 128, ""learning_rate"": 0.0001, ""buffer_size"": 100000}"
2026-08-28T08:11:50.530184,1,1,4,15,0.0,0.0,0,"{""gamma"": 0.99, ""epsilon_start"": 1.0, ""epsilon_min"": 0.01, ""epsilon_decay_steps"": 40000, ""batch_size"": 32, ""learning_rate"": 0.0005, ""buffer_size"": 100000}"
2026-08-28T08:11:50.530184,1,1,5,15,0.0,0.0,0,"{""gamma"": 0.95, ""epsilon_start"": 1.0, ""epsilon_min"": 0.01, ""epsilon_decay_steps"": 60000, ""batch_size"": 128, ""learning_rate"": 0.001, ""buffer_size"": 50000}"
2026-08-28T08:11:50.530184,1,1,6,15,0.0,0.0,0,"{""gamma"": 0.99, ""epsilon_start"": 1.0, ""epsilon_min"": 0.01, ""epsilon_decay_steps"": 60000, ""batch_size"": 128, ""learning_rate"": 0.0005, ""buffer_size"": 50000}"
2026-08-28T08:11:50.530184,1,1,7,15,0.0,0.0,0,"{""gamma"": 0.95, ""epsilon_start"": 1.0, ""epsilon_min"": 0.05, ""epsilon_decay_steps"": 20000, ""batch_size"": 32, ""learning_rate"": 0.0005, ""buffer_size"": 50000}"
2026-08-28T08:11:50.530184,1,1,8,15,0.0,0.0,0,"{""gamma"": 0.99, ""epsilon_start"": 1.0, ""epsilon_min"": 0.01, ""epsilon_decay_steps"": 60000, ""batch_size"": 32, ""learning_rate"": 0.001, ""buffer_size"": 100000}"
2026-08-28T08:11:50.531202,1,1,9,15,0.0,0.0,0,"{""gamma"": 0.95, ""epsilon_start"": 1.0, ""epsilon_min"": 0.05, ""epsilon_decay_steps"": 20000, ""batch_size"": 128, ""learning_rate"": 0.0005, ""buffer_size"": 50000}"
2026-08-28T09:36:20.013695,1,2,1,48,20.0,100.0,1,"{""gamma"": 0.99, ""epsilon_start"": 1.0, ""epsilon_min"": 0.05, ""epsilon_decay_steps"": 40000, ""batch_size"": 64, ""learning_rate"": 0.001, ""buffer_size"": 50000}"
2026-08-28T10:17:48.927219,1,2,2,48,10.0,0.0,0,"{""gamma"": 0.99, ""epsilon_start"": 1.0, ""epsilon_min"": 0.05, ""epsilon_decay_steps"": 60000, ""batch_size"": 128, ""learning_rate"": 0.001, ""buffer_size"": 100000}"
2026-08-28T10:17:48.927801,1,2,3,48,0.0,0.0,0,"{""gamma"": 0.9, ""epsilon_start"": 1.0, ""epsilon_min"": 0.01, ""epsilon_decay_steps"": 20000, ""batch_size"": 128, ""learning_rate"": 0.0001, ""buffer_size"": 100000}"
2026-08-28T10:48:22.794452,1,3,1,100,0.0,0.0,1,"{""gamma"": 0.99, ""epsilon_start"": 1.0, ""epsilon_min"": 0.05, ""epsilon_decay_steps"": 40000, ""batch_size"": 64, ""learning_rate"": 0.001, ""buffer_size"": 50000}"
