Episode,Steps,Reward,MovingAvg,Loss,Epsilon
0,291,-19.21143859863284,-19.21143859863284,0.0006424770381960128,0.99308875
1,539,-19.80405471801759,-19.507746658325214,0.020592247621536514,0.9802875
2,116,-11.856977233886719,-16.95749018351238,0.03211893726106139,0.9775325
3,538,-28.9987823486328,-19.967813224792486,0.03191869112559755,0.964755
4,176,-14.397543334960941,-18.85375924682618,0.025781434291605943,0.960575
5,227,-17.28132263183595,-18.59168647766114,0.02925966877520027,0.95518375
6,238,-16.545044403076176,-18.299309038434718,0.031684719634089746,0.94953125
7,387,-7.862294921875016,-16.994682273864754,0.03966050733931276,0.94034
8,116,-11.842333679199221,-16.422199096679694,0.04639130664772579,0.937585
9,431,-9.567972793579118,-15.736776466369637,0.04048818333010706,0.9273487499999999
10,756,-37.45521728515624,-17.71118017716842,0.07015672416417618,0.90939375
11,323,-20.38779052734376,-17.93423103968303,0.08450681706472378,0.9017225
12,510,-12.621109161376982,-17.52552935673641,0.08268673074997815,0.88961
13,507,-13.595723953247088,-17.244828970772886,0.09585626977560141,0.87756875
14,206,-0.42167823791504233,-16.123285588582362,0.10497081609334326,0.87267625
15,512,-13.285604553222676,-15.945930523872384,0.08859776155895815,0.86051625
16,225,-0.6566686248779572,-15.046562176872712,0.09772066819585032,0.8551725
17,454,-25.307488555908208,-15.616613642374684,0.08463194157460516,0.84439
18,321,-5.8303587341308285,-15.101547594572375,0.08875810363506928,0.8367662499999999
19,391,-8.05236797332767,-14.74908861351014,0.07783757105869862,0.82748
20,494,-12.293673171997087,-14.632164068676186,0.08308354129275752,0.8157475
21,208,-1.741953506469736,-14.04624540675771,0.08086138007750449,0.8108075
22,214,-15.65683410644531,-14.116271002396301,0.07292047237637932,0.805725
23,206,-15.960925598144524,-14.193131610552479,0.059850389101696246,0.8008325000000001
24,681,-20.391851272582954,-14.441080397033698,0.06756260273321675,0.78465875
25,268,-18.09124816894532,-14.581471465184144,0.07034664957283704,0.77829375
26,403,-7.143661117553721,-14.305997007864498,0.05697100917247145,0.7687225
